Date,Price,Open,High,Low,Vol.,Change %,RSI,Target
2024-01-18,1486.15,1494.0,1515.0,1480.05,80540000.0,-3.34%,18.52071884746769,0
2024-01-19,1470.65,1505.95,1510.25,1468.4,54800000.0,-1.04%,17.705523214539255,1
2024-01-20,1478.85,1483.2,1495.7,1476.0,12920000.0,0.56%,19.354389870599647,0
2024-01-23,1427.35,1465.0,1474.7,1425.0,57730000.0,-3.48%,18.08137267645907,1
2024-01-24,1455.9,1380.25,1458.45,1380.25,43000000.0,2.00%,20.278304870335248,0
2024-01-25,1434.9,1452.5,1457.35,1419.4,49470000.0,-1.44%,19.663886162904817,1
2024-01-29,1454.65,1448.05,1462.8,1445.8,32820000.0,1.38%,24.449339207048467,0
2024-01-30,1444.3,1454.55,1463.2,1440.9,20860000.0,-0.71%,24.605911330049267,1
2024-01-31,1462.55,1439.5,1474.95,1436.8,32880000.000000004,1.26%,26.910219675262653,1
2024-02-01,1466.35,1465.05,1473.6,1456.05,16350000.000000002,0.26%,28.028389269818348,0
2024-02-02,1446.15,1475.0,1480.85,1442.05,22430000.0,-1.38%,27.2164466767901,0
2024-02-05,1444.85,1446.0,1451.9,1434.05,19300000.0,-0.09%,21.345065996228797,0
2024-02-06,1444.1,1445.55,1449.7,1432.6,20540000.0,-0.05%,20.03060053550935,0
2024-02-07,1429.95,1453.0,1453.8,1426.65,27420000.0,-0.98%,29.68071037218968,0
2024-02-08,1403.05,1429.85,1438.95,1400.5,34550000.0,-1.88%,32.701915070774334,1
2024-02-09,1403.6,1392.15,1414.2,1387.0,28320000.0,0.04%,35.11653718091007,0
2024-02-12,1390.0,1399.65,1413.65,1383.35,17220000.0,-0.97%,30.73921526121832,1
2024-02-13,1394.45,1391.95,1404.35,1384.35,28790000.0,0.32%,41.04030501089329,0
2024-02-14,1384.05,1376.0,1391.5,1363.55,45660000.0,-0.75%,28.286491387125977,1
2024-02-15,1414.05,1385.0,1415.5,1384.35,20790000.0,2.17%,44.02407566638001,1
2024-02-16,1419.9,1423.9,1427.7,1408.45,16090000.0,0.41%,39.17782622236064,0
2024-02-19,1417.1,1429.0,1429.0,1415.2,17230000.0,-0.20%,41.11111111111111,1
2024-02-20,1454.3,1415.0,1457.25,1411.8,28070000.0,2.63%,47.60104681593487,0
2024-02-21,1439.15,1464.0,1464.0,1435.0,22950000.0,-1.04%,42.58046917621391,0
2024-02-22,1419.55,1417.75,1428.8,1412.2,25280000.0,-1.36%,42.72030651340994,1
2024-02-23,1420.6,1422.55,1433.9,1418.0,14920000.0,0.07%,43.35434365579612,1
2024-02-26,1422.3,1413.55,1434.85,1413.55,11750000.0,0.12%,44.05670665212652,0
2024-02-27,1420.15,1413.55,1426.7,1413.05,16040000.0,-0.15%,47.14119019836641,0
2024-02-28,1409.4,1420.15,1424.2,1404.0,12660000.0,-0.76%,52.045088566827744,0
2024-02-29,1403.4,1402.1,1410.4,1397.3,26650000.0,-0.43%,49.937772246421964,1
2024-03-01,1430.75,1400.0,1432.75,1400.0,17370000.0,1.95%,61.67956434508453,0
2024-03-02,1430.75,1431.3,1433.65,1428.35,895270.0,0.00%,60.67647058823527,1
2024-03-04,1432.7,1430.95,1437.0,1424.3,17810000.0,0.14%,65.05725781491799,1
2024-03-05,1440.85,1422.0,1443.0,1421.65,19000000.0,0.57%,59.59198282032926,1
2024-03-06,1442.6,1433.55,1452.85,1433.55,21200000.0,0.12%,58.37020648967546,1
2024-03-07,1446.1,1445.5,1451.05,1441.4,24670000.0,0.24%,60.63829787234045,0
2024-03-11,1427.8,1430.0,1445.95,1423.0,25270000.0,-1.27%,38.713798977853465,1
2024-03-12,1459.55,1434.0,1464.0,1429.25,32710000.0,2.22%,57.61194029850742,1
2024-03-13,1460.4,1465.5,1471.6,1450.1,31530000.0,0.06%,67.72234273318881,0
2024-03-14,1455.45,1462.1,1466.0,1444.3,26220000.0,-0.34%,64.62442299622333,0
2024-03-15,1452.65,1450.0,1459.3,1442.25,71810000.0,-0.19%,62.6195426195427,0
2024-03-18,1446.05,1447.0,1456.0,1435.8,10720000.0,-0.45%,60.38492381716113,1
2024-03-19,1449.35,1435.5,1452.4,1435.5,18090000.0,0.23%,67.03624733475472,0
2024-03-20,1431.05,1449.05,1451.65,1424.65,21800000.0,-1.26%,60.671555384021566,1
2024-03-21,1445.75,1442.6,1451.25,1438.3,14460000.0,1.03%,56.41573994867408,0
2024-03-22,1442.85,1441.0,1450.75,1437.75,22990000.0,-0.20%,55.05008347245405,0
2024-03-26,1425.4,1427.2,1437.95,1422.15,28420000.0,-1.21%,47.30229120473024,1
2024-03-27,1440.7,1423.55,1447.95,1421.25,31080000.0,1.07%,49.94734994734999,1
2024-03-28,1447.9,1440.7,1460.5,1440.7,27800000.0,0.50%,51.79175118323197,1
2024-04-01,1470.5,1458.0,1473.8,1455.6,12600000.0,1.56%,57.305389221556915,1
2024-04-02,1480.15,1465.15,1494.85,1463.25,20610000.0,0.66%,66.52983896431958,1
2024-04-03,1482.3,1472.1,1495.65,1471.4,22790000.0,0.15%,58.83495145631068,1
2024-04-04,1527.6,1504.0,1530.0,1504.0,44470000.0,3.06%,69.39953810623554,1
2024-04-05,1549.55,1539.0,1554.5,1530.15,29530000.0,1.44%,74.73711882229233,0
2024-04-08,1546.6,1554.95,1557.25,1541.55,10240000.0,-0.19%,74.67822432361436,1
2024-04-09,1548.55,1554.85,1554.85,1540.3,10940000.0,0.13%,77.59827679052238,0
2024-04-10,1536.35,1549.9,1549.9,1532.95,13900000.0,-0.79%,72.35354573484071,0
2024-04-12,1518.95,1521.0,1529.85,1513.45,20540000.0,-1.13%,72.68972638100159,0
2024-04-15,1494.7,1497.55,1510.0,1492.05,11710000.0,-1.60%,62.0418204182042,1
2024-04-16,1509.25,1487.0,1512.9,1482.25,10370000.0,0.97%,65.44904606793862,0
2024-04-18,1494.7,1509.8,1518.85,1491.05,17120000.0,-0.96%,66.34433962264151,1
2024-04-19,1531.3,1486.55,1534.95,1480.25,17290000.0,2.45%,69.41705957994,0
2024-04-22,1512.2,1557.4,1557.4,1508.3,21150000.0,-1.25%,63.111745513866246,0
2024-04-23,1507.6,1526.3,1526.5,1503.25,13410000.0,-0.30%,58.16461267605632,1
2024-04-24,1511.7,1515.0,1521.75,1509.05,11220000.0,0.27%,57.117076471915176,0
2024-04-25,1510.75,1506.25,1519.7,1506.25,17720000.0,-0.06%,56.452710365162176,0
2024-04-26,1509.8,1519.8,1528.0,1505.55,12430000.0,-0.06%,44.94605337876208,1
2024-04-29,1529.5,1515.0,1534.45,1506.55,18050000.0,1.30%,44.23353465631293,0
2024-04-30,1520.1,1529.2,1539.5,1514.9,26150000.0,-0.61%,42.651136993899065,1
2024-05-02,1532.25,1522.0,1537.0,1520.35,16739999.999999998,0.80%,45.7217847769029,0
2024-05-03,1519.6,1533.25,1540.6,1507.2,15930000.0,-0.83%,45.6140350877193,1
2024-05-06,1522.65,1522.0,1534.5,1517.15,14400000.0,0.20%,51.047565118912814,0
2024-05-07,1506.15,1521.95,1524.05,1504.15,14240000.0,-1.08%,53.39058335801007,0
2024-05-08,1482.65,1495.95,1496.95,1480.35,20840000.0,-1.56%,42.51968503937013,0
2024-05-09,1447.5,1474.95,1486.75,1445.3,23140000.0,-2.37%,38.10483870967745,0
2024-05-10,1437.9,1439.0,1451.95,1426.8,13640000.0,-0.66%,22.753792298716604,1
2024-05-13,1455.25,1432.0,1459.8,1430.3,13520000.0,1.21%,33.21544356027121,1
2024-05-14,1460.95,1452.25,1465.5,1450.3,12830000.0,0.39%,36.33967789165456,0
2024-05-15,1438.5,1459.7,1459.7,1435.8,19470000.0,-1.54%,30.645161290322633,1
2024-05-16,1460.25,1446.05,1462.55,1435.5,17470000.0,1.51%,37.97046212482137,1
2024-05-17,1464.1,1446.2,1468.0,1446.2,10460000.0,0.26%,39.26221804511279,1
2024-05-18,1466.05,1466.0,1467.1,1463.05,528560.0,0.13%,33.734939759036166,0
2024-05-21,1458.8,1450.1,1469.7,1450.1,21880000.0,-0.49%,34.110938310005224,1
2024-05-22,1459.2,1457.85,1465.6,1448.15,20000000.0,0.03%,29.837151531879698,1
2024-05-23,1492.6,1458.65,1495.65,1457.05,20430000.0,2.29%,43.31352154531947,1
2024-05-24,1517.2,1487.5,1519.9,1486.0,15530000.0,1.65%,48.78048780487804,1
2024-05-27,1527.7,1523.35,1545.0,1519.05,14690000.0,0.69%,54.955162106231306,1
2024-05-28,1530.5,1530.1,1536.05,1524.8,13950000.0,0.18%,62.16010165184242,0
2024-05-29,1508.3,1518.0,1523.85,1501.25,17570000.0,-1.45%,66.53971708378671,1
2024-05-30,1514.85,1499.2,1523.6,1497.65,16880000.0,0.43%,71.28630705394185,1
2024-05-31,1531.55,1519.0,1536.0,1514.0,37040000.0,1.10%,71.18267629094944,1
2024-06-03,1572.2,1599.0,1599.0,1550.0,36320000.0,2.65%,75.86607765635897,0
2024-06-04,1483.15,1557.0,1559.0,1454.0,44770000.0,-5.66%,57.9265045268951,1
2024-06-05,1551.8,1494.05,1559.6,1482.35,40820000.0,4.63%,63.93243037589407,1
2024-06-06,1559.7,1564.9,1565.45,1546.6,23210000.0,0.51%,64.371617558629,1
2024-06-07,1573.35,1561.05,1584.35,1552.05,18360000.0,0.88%,65.582340981702,0
