Date,Price,Open,High,Low,Vol.,Change(%),RSI,Target
2020-06-04,1001.7,1028.05,1038.95,991.1,27139478.0,-2.01%,,1
2020-06-05,1033.35,1003.1,1042.4,1002.8,17598103.0,3.16%,100.0,0
2020-06-08,1015.9,1060.0,1066.65,1006.4,24906362.0,-1.69%,64.4602851323829,0
2020-06-09,987.3,1020.0,1026.75,979.55,30922894.0,-2.82%,40.73359073359065,1
2020-06-10,991.85,990.0,999.85,978.2,18248880.0,0.46%,44.01215805471123,0
2020-06-11,968.6,985.0,988.4,965.0,15449142.0,-2.34%,34.31279620853077,1
2020-06-12,982.75,928.0,986.65,928.0,21322880.0,1.46%,42.081069786878366,0
2020-06-15,949.85,968.0,974.0,943.0,16004973.0,-3.35%,33.005571943625014,1
2020-06-16,990.4,975.0,993.95,952.0,22700113.0,4.27%,47.07405489383737,0
2020-06-17,979.25,989.0,998.9,973.25,18479504.0,-1.13%,44.504283965728256,1
2020-06-18,1019.95,980.0,1024.9,972.0,20435469.0,4.16%,53.72525005103082,1
2020-06-19,1033.35,1017.95,1043.0,1012.15,23939324.0,1.31%,56.12541126378941,0
2020-06-22,1028.75,1039.45,1045.95,1023.8,14847321.0,-0.45%,55.14356341509792,1
2020-06-23,1042.3,1039.0,1045.0,1016.55,14415640.0,1.32%,57.34177215189873,0
2020-06-24,1032.5,1048.5,1057.5,1030.05,19714664.0,-0.94%,55.37897310513447,0
2020-06-25,1028.75,1021.9,1049.0,1007.0,35323457.0,-0.36%,49.109907120743046,1
2020-06-26,1056.45,1041.0,1063.0,1028.0,19986677.0,2.69%,57.546994230411336,1
2020-06-29,1076.05,1037.0,1082.6,1037.0,23003725.0,1.86%,67.09031388407473,0
2020-06-30,1065.85,1074.0,1078.55,1056.3,17873316.0,-0.95%,63.94647568790049,1
2020-07-01,1084.6,1065.85,1096.0,1061.3,17423378.0,1.76%,72.23926380368098,1
2020-07-02,1089.4,1090.3,1111.25,1085.2,18477248.0,0.44%,71.20699940345997,0
2020-07-03,1073.95,1093.0,1095.8,1070.0,13798879.0,-1.42%,76.51709401709402,1
2020-07-06,1103.0,1107.95,1119.9,1100.0,17779243.0,2.70%,75.30337078651687,1
2020-07-07,1105.15,1109.4,1111.7,1093.05,12175425.0,0.19%,79.48477751756442,1
2020-07-08,1110.35,1107.0,1124.9,1105.0,15028412.0,0.47%,75.39325842696628,1
2020-07-09,1124.95,1118.0,1129.7,1107.25,10057717.0,1.31%,75.55803571428575,0
2020-07-10,1105.1,1117.9,1120.0,1099.55,8781604.0,-1.76%,69.63229622010795,0
2020-07-13,1080.25,1109.9,1113.0,1071.3,14961695.0,-2.25%,59.22235722964763,0
2020-07-14,1058.85,1062.6,1068.9,1050.0,13306511.0,-1.98%,56.06165171382559,0
2020-07-15,1053.15,1070.2,1079.0,1050.1,10487246.0,-0.54%,55.56315549475605,1
2020-07-16,1062.55,1053.65,1065.5,1034.1,11831256.0,0.89%,51.51741293532336,1
2020-07-17,1098.45,1059.05,1104.0,1058.3,14202933.0,3.38%,55.15416474919468,1
2020-07-20,1133.05,1135.0,1152.9,1124.15,32562064.0,3.15%,63.90153082333472,1
2020-07-21,1138.55,1152.05,1157.95,1134.0,23757768.0,0.49%,61.80783541256293,0
2020-07-22,1126.35,1138.5,1144.5,1117.55,12359024.0,-1.07%,57.833368666525296,1
2020-07-23,1130.4,1125.0,1143.9,1116.25,10074805.0,0.36%,62.57518378257964,0
2020-07-24,1119.1,1122.9,1122.9,1101.25,9799222.0,-1.00%,53.89453313981613,0
2020-07-27,1079.5,1099.85,1103.0,1075.35,18985167.0,-3.54%,44.74708171206225,1
2020-07-28,1086.65,1079.0,1094.4,1059.5,17798330.0,0.66%,45.18488419341735,0
2020-07-29,1064.6,1081.0,1088.5,1055.55,16796652.0,-2.03%,38.098994281206856,0
2020-07-30,1050.65,1074.0,1083.65,1046.7,13478951.0,-1.31%,39.00666262870992,0
2020-07-31,1032.8,1057.7,1057.7,1020.05,18865230.0,-1.70%,40.14128402243924,0
