Date,Price,Open,High,Low,Vol.,Change(%)
12-May-25,1957.2,1917.6,1959.9,1912.3,9309486,3.57%
09-May-25,1889.7,1910.1,1919,1886.8,8594398,-2.01%
08-May-25,1928.5,1954.8,1954.8,1919.1,17401715,-0.88%
07-May-25,1945.6,1934,1948.7,1922.4,10710389,0.72%
06-May-25,1931.7,1930,1940.1,1924.3,8745078,-0.26%
05-May-25,1936.8,1939,1952,1932.3,7534012,0.61%
02-May-25,1925,1929.8,1941.9,1920,11406024,0.00%
30-Apr-25,1925,1913,1936.9,1910.3,15968435,0.85%
29-Apr-25,1908.8,1918.8,1928.8,1900.2,9459154,-0.59%
28-Apr-25,1920.2,1911.2,1929.7,1908.4,6960246,0.47%
25-Apr-25,1911.2,1924.8,1933,1891.8,9250439,-0.29%
24-Apr-25,1916.8,1910,1923.9,1905.1,12965877,-0.37%
23-Apr-25,1923.9,1978.9,1978.9,1920.5,15285321,-1.93%
22-Apr-25,1961.7,1935,1970.6,1935,22980875,1.80%
21-Apr-25,1927.1,1924,1950.7,1910,17123649,1.07%
17-Apr-25,1906.7,1882,1919.7,1876.7,17851542,1.53%
16-Apr-25,1878,1883.8,1883.8,1860.5,9568410,0.70%
15-Apr-25,1864.9,1865,1876.8,1855,24649172,3.22%
11-Apr-25,1806.75,1774.75,1819.4,1774.75,16387883,2.37%
09-Apr-25,1765,1765,1775,1753.5,11227304,-0.23%
08-Apr-25,1769.15,1765,1782,1750.3,17781936,0.65%
07-Apr-25,1757.7,1762.8,1779.85,1738.2,18997725,-3.28%
04-Apr-25,1817.3,1813,1841.95,1811.1,16770227,1.25%
03-Apr-25,1794.85,1781.1,1804,1777,5625019,-0.11%
02-Apr-25,1796.9,1770.7,1799.2,1770.7,5786782,1.64%
01-Apr-25,1767.85,1802,1809.9,1765.35,14255503,-3.30%
28-Mar-25,1828.2,1829,1836,1805.85,14386824,0.16%
27-Mar-25,1825.35,1800,1841,1798.1,20829050,1.04%
26-Mar-25,1806.55,1825,1827.5,1802,12239221,-0.82%
25-Mar-25,1821.45,1804.9,1843.7,1801.5,19550708,1.19%
24-Mar-25,1800,1779,1804.4,1773.65,8696868,1.67%
21-Mar-25,1770.35,1755.55,1774.1,1755.55,16754132,0.09%
20-Mar-25,1768.75,1754,1774,1749.3,8916989,1.41%
19-Mar-25,1744.1,1735,1751,1732.2,7610703,0.69%
18-Mar-25,1732.2,1728,1737.4,1715.05,10953589,1.27%
17-Mar-25,1710.4,1705,1724,1705,9475957,0.22%
13-Mar-25,1706.6,1716.05,1720.8,1700.05,7868132,-0.27%
12-Mar-25,1711.15,1691.55,1718.5,1691.55,9392053,1.52%
11-Mar-25,1685.5,1682.4,1694,1670.05,9949215,-0.12%
10-Mar-25,1687.5,1689,1699.9,1683.05,7802025,-0.10%
07-Mar-25,1689.25,1682,1701.15,1677.6,6686457,-0.12%
06-Mar-25,1691.2,1687,1699.9,1672.25,16483044,0.07%
05-Mar-25,1690,1701.95,1710.8,1688.25,10791936,-1.17%
04-Mar-25,1710,1698,1714.3,1693.25,9960479,0.50%
03-Mar-25,1701.55,1739.8,1743.05,1694.1,10602682,-1.78%
28-Feb-25,1732.4,1685,1737.25,1685,27258364,1.86%
27-Feb-25,1700.7,1682.55,1710.75,1682.55,17893400,1.09%
25-Feb-25,1682.35,1671.1,1688,1671.1,12069354,0.31%
24-Feb-25,1677.1,1681.1,1684.2,1661.1,10346823,-0.91%
21-Feb-25,1692.5,1680.9,1694.95,1677.25,7840470,0.32%
20-Feb-25,1687.1,1711,1714.7,1685.3,13195255,-2.32%
19-Feb-25,1727.2,1717,1737.9,1712.45,5942056,0.24%
18-Feb-25,1723.05,1713.05,1731.55,1706.15,8175455,0.33%
17-Feb-25,1717.35,1685.2,1720,1681.25,6469473,1.33%
14-Feb-25,1694.85,1701.9,1701.9,1680,9979946,-0.17%
13-Feb-25,1697.7,1699,1714.25,1693.55,6301217,-0.53%
12-Feb-25,1706.8,1693,1712,1681.2,11404785,0.32%
11-Feb-25,1701.4,1703,1711,1688.7,11362352,-0.84%
10-Feb-25,1715.75,1717.3,1723.45,1708.5,8597975,-0.98%
07-Feb-25,1732.75,1750,1767,1725,11754800,-0.64%
06-Feb-25,1743.85,1735.5,1749,1724,13380358,0.35%
05-Feb-25,1737.8,1733,1744.2,1718.9,11837753,0.98%
04-Feb-25,1720.9,1688.7,1725.8,1680.05,14308251,2.56%
03-Feb-25,1678,1670,1686.8,1663.45,10138270,-0.77%
01-Feb-25,1690.95,1697.5,1713,1676.05,2793764,-0.46%
31-Jan-25,1698.75,1687.25,1704.7,1683.95,7910843,0.43%
30-Jan-25,1691.5,1681,1697.9,1672.55,12872423,0.85%
29-Jan-25,1677.3,1675,1681.15,1668.85,6309945,0.41%
28-Jan-25,1670.4,1647,1684.3,1647,15089656,2.49%
27-Jan-25,1629.8,1641.1,1643.6,1626,11402083,-1.21%
24-Jan-25,1649.8,1660,1670.3,1644.5,12118100,-0.91%
23-Jan-25,1664.9,1687,1687,1651.25,17454579,-0.07%
22-Jan-25,1666.05,1642.4,1671.9,1625.45,15309653,1.44%
21-Jan-25,1642.4,1658.25,1661.05,1633.05,15579072,-0.54%
20-Jan-25,1651.25,1626,1660.95,1626,8778809,0.89%
17-Jan-25,1636.75,1643.5,1650.5,1628.5,11556038,-0.93%
16-Jan-25,1652.05,1652.85,1660.55,1642.85,10606227,0.55%
15-Jan-25,1643.05,1656.5,1662.7,1636.3,7011446,-0.22%
14-Jan-25,1646.6,1639.9,1656.2,1637,13330716,0.97%
13-Jan-25,1630.85,1640,1646.75,1624.3,10834533,-1.56%
10-Jan-25,1656.75,1671,1674.9,1654,8726640,-0.66%
09-Jan-25,1667.8,1684.15,1689,1658.1,20210111,-1.56%
08-Jan-25,1694.3,1708.25,1711.65,1683.35,9869095,-1.11%
07-Jan-25,1713.4,1715,1721,1700,6763953,0.17%
06-Jan-25,1710.5,1740.1,1757.2,1705.8,9408174,-2.21%
