Date,Price,Open,High,Low,Vol.,Change(%)
08-May-25,512.4,523.05,528.5,507,4816872,-2.05%
07-May-25,523.1,496.5,526.2,493.65,6551428,4.15%
06-May-25,502.25,528.85,528.85,500.6,4252429,-5.38%
05-May-25,530.8,512.9,534.8,508.1,5057306,4.40%
02-May-25,508.45,514.1,518.9,506.05,2919874,-1.57%
30-Apr-25,516.55,519.85,522.85,511.4,3230049,-0.32%
29-Apr-25,518.2,520.95,523,514.5,3263583,0.00%
28-Apr-25,518.2,501.2,525.6,501,7718095,3.38%
25-Apr-25,501.25,523,526.05,495.2,5186211,-3.57%
24-Apr-25,519.8,536,536,517.45,4969546,-3.38%
23-Apr-25,538,528.6,545.4,518.95,6814548,2.48%
22-Apr-25,525,532,539.15,521.6,4707881,-0.78%
21-Apr-25,529.15,527.75,535.5,522,4668209,0.86%
17-Apr-25,524.65,525.25,533.3,516.2,5628907,-0.13%
16-Apr-25,525.35,514.15,529,512.8,6297239,2.18%
15-Apr-25,514.15,518.05,523.95,511.45,5595619,0.67%
11-Apr-25,510.75,501.7,517.2,495.05,9258081,3.38%
09-Apr-25,494.05,493,498.7,482.25,4738177,0.36%
08-Apr-25,492.3,500,505,483.6,7793425,1.23%
07-Apr-25,486.3,443.05,492,443.05,10031988,-0.17%
04-Apr-25,487.15,506.1,508,481.15,8666363,-4.31%
03-Apr-25,509.1,502.5,516.9,497.9,16010829,-0.39%
02-Apr-25,511.1,460.2,518.4,459.45,38537731,11.58%
01-Apr-25,458.05,467.5,469.5,452.6,4813861,-1.97%
28-Mar-25,467.25,471.15,481.6,462.9,5318930,-0.38%
27-Mar-25,469.05,473,475,464.3,5040093,-1.11%
26-Mar-25,474.3,471.1,481.5,468.6,6631615,1.09%
25-Mar-25,469.2,492.35,495,466.45,8667538,-4.22%
24-Mar-25,489.85,474.05,500.7,466.55,12929450,3.96%
21-Mar-25,471.2,467.85,484,464.55,9707389,0.85%
20-Mar-25,467.25,460,475,442.5,11753814,3.02%
19-Mar-25,453.55,434.45,465,434,8732320,4.40%
18-Mar-25,434.45,429.95,437.5,428.15,6745975,1.51%
17-Mar-25,428,430,437.75,425,6286845,-0.67%
13-Mar-25,430.9,429.35,436.45,418,9809250,0.85%
12-Mar-25,427.25,424.15,431.4,417.65,13069316,1.36%
11-Mar-25,421.5,404.5,430.15,399.4,32037217,3.44%
10-Mar-25,407.5,438,439.1,406,17135126,-5.61%
07-Mar-25,431.7,452,453.4,429,11762843,-4.15%
06-Mar-25,450.4,468.25,475.5,447.1,7622018,-3.65%
05-Mar-25,467.45,457.8,469.45,455.1,5883560,1.71%
04-Mar-25,459.6,437.9,465.35,426,12207939,4.35%
03-Mar-25,440.45,464.05,467.35,436.85,7993592,-4.72%
28-Feb-25,462.25,452.55,472.3,452.55,9678048,-1.48%
27-Feb-25,469.2,479,483.95,458.55,7999524,-1.85%
25-Feb-25,478.05,482.45,487.9,473.15,6624720,-0.22%
24-Feb-25,479.1,482.95,485.2,474.6,6151724,-1.27%
21-Feb-25,485.25,493,502.4,482,6975603,-1.74%
20-Feb-25,493.85,483.15,496.5,480.15,8615680,2.21%
19-Feb-25,483.15,484,493.75,474.8,16318703,-0.24%
18-Feb-25,484.3,503.05,506.25,479.5,13375181,-4.49%
17-Feb-25,507.05,484.45,509.95,477.55,15540320,3.82%
14-Feb-25,488.4,522,524.85,480.15,12516211,-7.23%
13-Feb-25,526.45,511,530,507,10861298,2.70%
12-Feb-25,512.6,512.1,521.65,498.65,11442504,-1.47%
11-Feb-25,520.25,524.65,527,505,10354212,-0.34%
10-Feb-25,522.05,537.05,545,514,10099332,-3.22%
07-Feb-25,539.4,541,553.55,533.6,17368687,-0.55%
06-Feb-25,542.4,564,569.5,538.1,23885400,-4.48%
05-Feb-25,567.85,567,591.4,553,51857027,0.72%
04-Feb-25,563.8,510,594,505.1,52426558,12.11%
03-Feb-25,502.9,502.45,517.35,485.1,22726079,-0.50%
01-Feb-25,505.45,502,526.75,484,48867197,0.47%
31-Jan-25,503.1,460.05,506.7,446.5,76184680,14.17%
30-Jan-25,440.65,451,466.05,435.1,21631272,-1.79%
29-Jan-25,448.7,441.1,451.95,434.3,18178589,2.43%
28-Jan-25,438.05,437.55,448.95,420.65,29156002,0.19%
27-Jan-25,437.2,458,458,433.2,18798873,-4.70%
24-Jan-25,458.75,480,483.5,455.25,23715822,-4.06%
23-Jan-25,478.15,492.65,509.65,472,44335820,-1.54%
22-Jan-25,485.65,486,499,459,48236616,-0.55%
21-Jan-25,488.35,538,538,480.7,30176134,-8.01%
20-Jan-25,530.9,525,549,521.05,42274364,5.86%
