Date,Price,Open,High,Low,Vol.,Change %
19-05-2025,"1,938.70","1,937.00","1,945.00","1,931.00",5.10M,0.21%
16-05-2025,"1,934.70","1,933.80","1,943.80","1,928.40",7.93M,0.05%
15-05-2025,"1,933.80","1,913.50","1,944.80","1,897.00",16.12M,1.21%
14-05-2025,"1,910.60","1,922.10","1,930.20","1,903.00",7.72M,-0.62%
13-05-2025,"1,922.60","1,950.00","1,961.70","1,920.00",12.12M,-1.77%
12-05-2025,"1,957.20","1,917.60","1,959.90","1,912.30",9.31M,3.57%
09-05-2025,"1,889.70","1,910.10","1,919.00","1,886.80",8.59M,-2.01%
08-05-2025,"1,928.50","1,954.80","1,954.80","1,919.10",17.40M,-0.88%
07-05-2025,"1,945.60","1,934.00","1,948.70","1,922.40",10.71M,0.72%
06-05-2025,"1,931.70","1,930.00","1,940.10","1,924.30",8.75M,-0.26%
05-05-2025,"1,936.80","1,939.00","1,952.00","1,932.30",7.53M,0.61%
02-05-2025,"1,925.00","1,929.80","1,941.90","1,920.00",11.41M,0.00%
30-04-2025,"1,925.00","1,913.00","1,936.90","1,910.30",15.97M,0.85%
29-04-2025,"1,908.80","1,918.80","1,928.80","1,900.20",9.46M,-0.59%
28-04-2025,"1,920.20","1,911.20","1,929.70","1,908.40",6.96M,0.47%
25-04-2025,"1,911.20","1,924.80","1,933.00","1,891.80",9.25M,-0.29%
24-04-2025,"1,916.80","1,910.00","1,923.90","1,905.10",12.97M,-0.37%
23-04-2025,"1,923.90","1,978.90","1,978.90","1,920.50",15.29M,-1.93%
22-04-2025,"1,961.70","1,935.00","1,970.60","1,935.00",22.98M,1.80%
21-04-2025,"1,927.10","1,924.00","1,950.70","1,910.00",17.12M,1.07%
17-04-2025,"1,906.70","1,882.00","1,919.70","1,876.70",17.85M,1.53%
16-04-2025,"1,878.00","1,883.80","1,883.80","1,860.50",9.57M,0.70%
15-04-2025,"1,864.90","1,865.00","1,876.80","1,855.00",24.65M,3.22%
11-04-2025,"1,806.75","1,774.75","1,819.40","1,774.75",16.39M,2.37%
09-04-2025,"1,765.00","1,765.00","1,775.00","1,753.50",11.23M,-0.23%
08-04-2025,"1,769.15","1,765.00","1,782.00","1,750.30",17.78M,0.65%
07-04-2025,"1,757.70","1,762.80","1,779.85","1,738.20",19.00M,-3.28%
04-04-2025,"1,817.30","1,813.00","1,841.95","1,811.10",16.77M,1.25%
03-04-2025,"1,794.85","1,781.10","1,804.00","1,777.00",5.63M,-0.11%
02-04-2025,"1,796.90","1,770.70","1,799.20","1,770.70",5.79M,1.64%
01-04-2025,"1,767.85","1,802.00","1,809.90","1,765.35",14.26M,-3.30%
28-03-2025,"1,828.20","1,829.00","1,836.00","1,805.85",14.39M,0.16%
27-03-2025,"1,825.35","1,800.00","1,841.00","1,798.10",20.83M,1.04%
26-03-2025,"1,806.55","1,825.00","1,827.50","1,802.00",12.24M,-0.82%
25-03-2025,"1,821.45","1,804.90","1,843.70","1,801.50",19.55M,1.19%
24-03-2025,"1,800.00","1,779.00","1,804.40","1,773.65",8.70M,1.67%
21-03-2025,"1,770.35","1,755.55","1,774.10","1,755.55",16.75M,0.09%
20-03-2025,"1,768.75","1,754.00","1,774.00","1,749.30",8.92M,1.41%
19-03-2025,"1,744.10","1,735.00","1,751.00","1,732.20",7.61M,0.69%
18-03-2025,"1,732.20","1,728.00","1,737.40","1,715.05",10.95M,1.27%
17-03-2025,"1,710.40","1,705.00","1,724.00","1,705.00",9.48M,0.22%
13-03-2025,"1,706.60","1,716.05","1,720.80","1,700.05",7.87M,-0.27%
12-03-2025,"1,711.15","1,691.55","1,718.50","1,691.55",9.39M,1.52%
11-03-2025,"1,685.50","1,682.40","1,694.00","1,670.05",9.95M,-0.12%
10-03-2025,"1,687.50","1,689.00","1,699.90","1,683.05",7.80M,-0.10%
07-03-2025,"1,689.25","1,682.00","1,701.15","1,677.60",6.69M,-0.12%
06-03-2025,"1,691.20","1,687.00","1,699.90","1,672.25",16.48M,0.07%
05-03-2025,"1,690.00","1,701.95","1,710.80","1,688.25",10.79M,-1.17%
04-03-2025,"1,710.00","1,698.00","1,714.30","1,693.25",9.96M,0.50%
03-03-2025,"1,701.55","1,739.80","1,743.05","1,694.10",10.60M,-1.78%
28-02-2025,"1,732.40","1,685.00","1,737.25","1,685.00",27.26M,1.86%
27-02-2025,"1,700.70","1,682.55","1,710.75","1,682.55",17.89M,1.09%
25-02-2025,"1,682.35","1,671.10","1,688.00","1,671.10",12.07M,0.31%
24-02-2025,"1,677.10","1,681.10","1,684.20","1,661.10",10.35M,-0.91%
21-02-2025,"1,692.50","1,680.90","1,694.95","1,677.25",7.84M,0.32%
20-02-2025,"1,687.10","1,711.00","1,714.70","1,685.30",13.20M,-2.32%
19-02-2025,"1,727.20","1,717.00","1,737.90","1,712.45",5.94M,0.24%
18-02-2025,"1,723.05","1,713.05","1,731.55","1,706.15",8.18M,0.33%
17-02-2025,"1,717.35","1,685.20","1,720.00","1,681.25",6.47M,1.33%
14-02-2025,"1,694.85","1,701.90","1,701.90","1,680.00",9.98M,-0.17%
13-02-2025,"1,697.70","1,699.00","1,714.25","1,693.55",6.30M,-0.53%
12-02-2025,"1,706.80","1,693.00","1,712.00","1,681.20",11.40M,0.32%
11-02-2025,"1,701.40","1,703.00","1,711.00","1,688.70",11.36M,-0.84%
10-02-2025,"1,715.75","1,717.30","1,723.45","1,708.50",8.60M,-0.98%
07-02-2025,"1,732.75","1,750.00","1,767.00","1,725.00",11.75M,-0.64%
06-02-2025,"1,743.85","1,735.50","1,749.00","1,724.00",13.38M,0.35%
05-02-2025,"1,737.80","1,733.00","1,744.20","1,718.90",11.84M,0.98%
04-02-2025,"1,720.90","1,688.70","1,725.80","1,680.05",14.31M,2.56%
03-02-2025,"1,678.00","1,670.00","1,686.80","1,663.45",10.14M,-0.77%
01-02-2025,"1,690.95","1,697.50","1,713.00","1,676.05",2.79M,-0.46%
31-01-2025,"1,698.75","1,687.25","1,704.70","1,683.95",7.91M,0.43%
30-01-2025,"1,691.50","1,681.00","1,697.90","1,672.55",12.87M,0.85%
29-01-2025,"1,677.30","1,675.00","1,681.15","1,668.85",6.31M,0.41%
28-01-2025,"1,670.40","1,647.00","1,684.30","1,647.00",15.09M,2.49%
27-01-2025,"1,629.80","1,641.10","1,643.60","1,626.00",11.40M,-1.21%
24-01-2025,"1,649.80","1,660.00","1,670.30","1,644.50",12.12M,-0.91%
23-01-2025,"1,664.90","1,687.00","1,687.00","1,651.25",17.45M,-0.07%
22-01-2025,"1,666.05","1,642.40","1,671.90","1,625.45",15.31M,1.44%
21-01-2025,"1,642.40","1,658.25","1,661.05","1,633.05",15.58M,-0.54%
20-01-2025,"1,651.25","1,626.00","1,660.95","1,626.00",8.78M,0.89%
17-01-2025,"1,636.75","1,643.50","1,650.50","1,628.50",11.56M,-0.93%
16-01-2025,"1,652.05","1,652.85","1,660.55","1,642.85",10.61M,0.55%
15-01-2025,"1,643.05","1,656.50","1,662.70","1,636.30",7.01M,-0.22%
14-01-2025,"1,646.60","1,639.90","1,656.20","1,637.00",13.33M,0.97%
13-01-2025,"1,630.85","1,640.00","1,646.75","1,624.30",10.83M,-1.56%
10-01-2025,"1,656.75","1,671.00","1,674.90","1,654.00",8.73M,-0.66%
09-01-2025,"1,667.80","1,684.15","1,689.00","1,658.10",20.21M,-1.56%
