Trend,Start Date,End Date,Profit
DOWN,2010-01-21,2010-01-21,0.0
DOWN,2010-01-21,2010-01-27,761.3199999999997
DOWN,2010-01-27,2010-01-29,-68.13999999999942
UP,2010-01-29,2010-02-02,-194.51999999999862
DOWN,2010-02-02,2010-02-03,-332.60999999999876
UP,2010-02-03,2010-02-05,-705.119999999999
DOWN,2010-02-05,2010-02-09,-251.25
UP,2010-02-09,2010-02-10,-120.01000000000022
DOWN,2010-02-10,2010-02-11,-230.42000000000007
UP,2010-02-11,2010-02-15,-114.23999999999978
DOWN,2010-02-15,2010-02-17,-390.5599999999995
UP,2010-02-17,2010-02-19,-237.28000000000065
DOWN,2010-02-19,2010-02-23,-94.69000000000051
UP,2010-02-23,2010-02-25,-32.11999999999898
DOWN,2010-02-25,2010-03-03,-745.8099999999977
UP,2010-03-03,2010-03-04,-28.30999999999767
DOWN,2010-03-04,2010-03-08,-130.89999999999782
UP,2010-03-08,2010-03-09,-50.05999999999767
DOWN,2010-03-09,2010-03-11,-115.41999999999825
UP,2010-03-11,2010-03-15,-2.969999999997526
DOWN,2010-03-15,2010-03-19,-413.23999999999796
UP,2010-03-19,2010-03-22,-167.65999999999985
DOWN,2010-03-22,2010-03-29,-300.77999999999884
UP,2010-03-29,2010-03-31,-183.5799999999981
DOWN,2010-03-31,2010-04-07,-442.25
UP,2010-04-07,2010-04-08,-255.61999999999898
DOWN,2010-04-08,2010-04-09,-218.73999999999796
UP,2010-04-09,2010-04-19,-532.4599999999991
DOWN,2010-04-19,2010-04-26,-344.59999999999854
UP,2010-04-26,2010-04-28,-365.1999999999971
DOWN,2010-04-28,2010-04-30,-178.62999999999738
UP,2010-04-30,2010-05-07,-789.5999999999985
DOWN,2010-05-07,2010-05-10,-561.4399999999987
UP,2010-05-10,2010-05-11,-189.02000000000044
DOWN,2010-05-11,2010-05-13,-124.34000000000015
UP,2010-05-13,2010-05-17,-430.3099999999977
DOWN,2010-05-17,2010-05-18,-40.19999999999709
UP,2010-05-18,2010-05-19,-467.2699999999968
DOWN,2010-05-19,2010-05-20,-111.18999999999869
UP,2010-05-20,2010-05-21,-74.06999999999971
DOWN,2010-05-21,2010-05-24,-23.93999999999869
UP,2010-05-24,2010-05-25,-447.0699999999997
DOWN,2010-05-25,2010-05-31,-922.1500000000015
UP,2010-05-31,2010-06-01,-372.6000000000022
DOWN,2010-06-01,2010-06-04,-545.6599999999999
UP,2010-06-04,2010-06-08,-500.59000000000015
DOWN,2010-06-08,2010-06-17,-999.5900000000001
UP,2010-06-17,2010-06-18,-45.86999999999898
DOWN,2010-06-18,2010-06-21,-305.72999999999956
UP,2010-06-21,2010-06-22,-126.86000000000058
DOWN,2010-06-22,2010-06-23,-6.25
UP,2010-06-23,2010-06-25,-181.40999999999985
DOWN,2010-06-25,2010-06-28,-199.72999999999956
UP,2010-06-28,2010-06-29,-240.16999999999825
DOWN,2010-06-29,2010-06-30,-166.8100000000013
UP,2010-06-30,2010-07-05,-259.46000000000276
DOWN,2010-07-05,2010-07-06,-173.04000000000087
UP,2010-07-06,2010-07-07,-143.45000000000073
DOWN,2010-07-07,2010-07-13,-514.8700000000026
UP,2010-07-13,2010-07-15,-76.44000000000233
DOWN,2010-07-15,2010-07-16,-46.36000000000058
UP,2010-07-16,2010-07-20,-77.68000000000029
DOWN,2010-07-20,2010-07-23,-252.84000000000015
UP,2010-07-23,2010-07-26,-110.93000000000029
DOWN,2010-07-26,2010-07-27,-57.56000000000131
UP,2010-07-27,2010-07-28,-120.2400000000016
DOWN,2010-07-28,2010-07-29,-34.63000000000102
UP,2010-07-29,2010-07-30,-123.70999999999913
DOWN,2010-07-30,2010-08-04,-349.1499999999978
UP,2010-08-04,2010-08-06,-73.44999999999709
DOWN,2010-08-06,2010-08-09,-143.5099999999984
UP,2010-08-09,2010-08-11,-217.3100000000013
DOWN,2010-08-11,2010-08-13,-96.84000000000015
UP,2010-08-13,2010-08-17,-118.18000000000029
DOWN,2010-08-17,2010-08-19,-406.09000000000015
UP,2010-08-19,2010-08-20,-53.11999999999898
DOWN,2010-08-20,2010-08-23,-7.529999999998836
UP,2010-08-23,2010-08-25,-229.70999999999913
DOWN,2010-08-25,2010-08-26,-46.70999999999913
UP,2010-08-26,2010-08-27,-227.9399999999987
DOWN,2010-08-27,2010-08-30,-33.70000000000073
UP,2010-08-30,2010-08-31,-60.9900000000016
DOWN,2010-08-31,2010-09-02,-267.1900000000023
UP,2010-09-02,2010-09-03,-16.88000000000102
DOWN,2010-09-03,2010-09-15,-1280.6800000000003
UP,2010-09-15,2010-09-16,-84.61999999999898
