Trend,Start Date,End Date,Duration (days),RSI Start,RSI End,Next Start Date,Gap Days
DOWN,2010-01-21,2010-01-21,1,,,2010-01-21,0.0
DOWN,2010-01-21,2010-01-27,7,,,2010-01-27,0.0
DOWN,2010-01-27,2010-01-29,3,,,2010-01-29,0.0
UP,2010-01-29,2010-02-02,5,,,2010-02-02,0.0
DOWN,2010-02-02,2010-02-03,2,,,2010-02-03,0.0
UP,2010-02-03,2010-02-05,3,,,2010-02-05,0.0
DOWN,2010-02-05,2010-02-09,5,,28.19,2010-02-09,0.0
UP,2010-02-09,2010-02-10,2,28.19,26.8,2010-02-10,0.0
DOWN,2010-02-10,2010-02-11,2,26.8,35.7,2010-02-11,0.0
UP,2010-02-11,2010-02-15,5,35.7,35.2,2010-02-15,0.0
DOWN,2010-02-15,2010-02-17,3,35.2,52.55,2010-02-17,0.0
UP,2010-02-17,2010-02-19,3,52.55,46.81,2010-02-19,0.0
DOWN,2010-02-19,2010-02-23,5,46.81,45.11,2010-02-23,0.0
UP,2010-02-23,2010-02-25,3,45.11,65.75,2010-02-25,0.0
DOWN,2010-02-25,2010-03-03,7,65.75,74.37,2010-03-03,0.0
UP,2010-03-03,2010-03-04,2,74.37,78.01,2010-03-04,0.0
DOWN,2010-03-04,2010-03-08,5,78.01,82.06,2010-03-08,0.0
UP,2010-03-08,2010-03-09,2,82.06,77.14,2010-03-09,0.0
DOWN,2010-03-09,2010-03-11,3,77.14,81.5,2010-03-11,0.0
UP,2010-03-11,2010-03-15,5,81.5,90.18,2010-03-15,0.0
DOWN,2010-03-15,2010-03-19,5,90.18,93.8,2010-03-19,0.0
UP,2010-03-19,2010-03-22,4,93.8,78.08,2010-03-22,0.0
DOWN,2010-03-22,2010-03-29,8,78.08,78.98,2010-03-29,0.0
UP,2010-03-29,2010-03-31,3,78.98,68.87,2010-03-31,0.0
DOWN,2010-03-31,2010-04-07,8,68.87,72.76,2010-04-07,0.0
UP,2010-04-07,2010-04-08,2,72.76,57.8,2010-04-08,0.0
DOWN,2010-04-08,2010-04-09,2,57.8,62.71,2010-04-09,0.0
UP,2010-04-09,2010-04-19,11,62.71,42.82,2010-04-19,0.0
DOWN,2010-04-19,2010-04-26,8,42.82,43.13,2010-04-26,0.0
UP,2010-04-26,2010-04-28,3,43.13,32.82,2010-04-28,0.0
DOWN,2010-04-28,2010-04-30,3,32.82,36.82,2010-04-30,0.0
UP,2010-04-30,2010-05-07,8,36.82,31.18,2010-05-07,0.0
DOWN,2010-05-07,2010-05-10,4,31.18,47.02,2010-05-10,0.0
UP,2010-05-10,2010-05-11,2,47.02,42.98,2010-05-11,0.0
DOWN,2010-05-11,2010-05-13,3,42.98,40.52,2010-05-13,0.0
UP,2010-05-13,2010-05-17,5,40.52,33.45,2010-05-17,0.0
DOWN,2010-05-17,2010-05-18,2,33.45,39.1,2010-05-18,0.0
UP,2010-05-18,2010-05-19,2,39.1,29.4,2010-05-19,0.0
DOWN,2010-05-19,2010-05-20,2,29.4,30.85,2010-05-20,0.0
UP,2010-05-20,2010-05-21,2,30.85,32.02,2010-05-21,0.0
DOWN,2010-05-21,2010-05-24,4,32.02,36.03,2010-05-24,0.0
UP,2010-05-24,2010-05-25,2,36.03,30.89,2010-05-25,0.0
DOWN,2010-05-25,2010-05-31,7,30.89,46.27,2010-05-31,0.0
UP,2010-05-31,2010-06-01,2,46.27,39.46,2010-06-01,0.0
DOWN,2010-06-01,2010-06-04,4,39.46,54.7,2010-06-04,0.0
UP,2010-06-04,2010-06-08,5,54.7,53.48,2010-06-08,0.0
DOWN,2010-06-08,2010-06-17,10,53.48,65.07,2010-06-17,0.0
UP,2010-06-17,2010-06-18,2,65.07,62.71,2010-06-18,0.0
DOWN,2010-06-18,2010-06-21,4,62.71,77.21,2010-06-21,0.0
UP,2010-06-21,2010-06-22,2,77.21,71.4,2010-06-22,0.0
DOWN,2010-06-22,2010-06-23,2,71.4,67.63,2010-06-23,0.0
UP,2010-06-23,2010-06-25,3,67.63,71.68,2010-06-25,0.0
DOWN,2010-06-25,2010-06-28,4,71.68,81.02,2010-06-28,0.0
UP,2010-06-28,2010-06-29,2,81.02,71.22,2010-06-29,0.0
DOWN,2010-06-29,2010-06-30,2,71.22,69.79,2010-06-30,0.0
UP,2010-06-30,2010-07-05,6,69.79,50.82,2010-07-05,0.0
DOWN,2010-07-05,2010-07-06,2,50.82,54.08,2010-07-06,0.0
UP,2010-07-06,2010-07-07,2,54.08,46.06,2010-07-07,0.0
DOWN,2010-07-07,2010-07-13,7,46.06,56.12,2010-07-13,0.0
UP,2010-07-13,2010-07-15,3,56.12,59.44,2010-07-15,0.0
DOWN,2010-07-15,2010-07-16,2,59.44,55.6,2010-07-16,0.0
UP,2010-07-16,2010-07-20,5,55.6,56.86,2010-07-20,0.0
DOWN,2010-07-20,2010-07-23,4,56.86,76.84,2010-07-23,0.0
UP,2010-07-23,2010-07-26,4,76.84,66.59,2010-07-26,0.0
DOWN,2010-07-26,2010-07-27,2,66.59,76.68,2010-07-27,0.0
UP,2010-07-27,2010-07-28,2,76.68,64.2,2010-07-28,0.0
DOWN,2010-07-28,2010-07-29,2,64.2,58.53,2010-07-29,0.0
UP,2010-07-29,2010-07-30,2,58.53,46.37,2010-07-30,0.0
